* Measurement data measured by REW V5.20
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Aug 26, 2024 9:42:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A over B A = Super 22 Target B = Uploaded IEF Comp Tar
* Measurement: A over B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2650.000000	108.750130	0
2690.000000	108.814079	0
2720.000000	108.856133	0
2760.000000	108.903381	0
2800.000000	108.939819	0
2850.000000	108.968353	0
2900.000000	108.976486	0
2950.000000	108.962364	0
3000.000000	108.925110	0
3040.000000	108.877991	0
3070.000000	108.832603	0
3110.000000	108.759842	0
3150.000000	108.673859	0
3200.000000	108.549408	0
3250.000000	108.408844	0
3300.000000	108.254837	0
3350.000000	108.090439	0
3400.000000	107.918755	0
3450.000000	107.742912	0
3500.000000	107.565796	0
3550.000000	107.389969	0
3600.000000	107.217651	0
3650.000000	107.050552	0
3700.000000	106.889923	0
3750.000000	106.737251	0
3820.000000	106.535881	0
3870.000000	106.402367	0
3950.000000	106.202919	0
4000.000000	106.088333	0
4060.000000	105.958801	0
4120.000000	105.836952	0
4180.000000	105.721298	0
4250.000000	105.591995	0
4310.000000	105.483704	0
4370.000000	105.376099	0
4440.000000	105.248970	0
4500.000000	105.137062	0
4550.000000	105.040367	0
4620.000000	104.899277	0
4680.000000	104.771561	0
4750.000000	104.614250	0
4820.000000	104.447823	0
4870.000000	104.322838	0
4940.000000	104.140022	0
5000.000000	103.976318	0
5080.000000	103.748726	0
5150.000000	103.541878	0
5220.000000	103.329002	0
5300.000000	103.080521	0
5380.000000	102.829277	0
5450.000000	102.609650	0
5520.000000	102.392792	0
5600.000000	102.151466	0
5700.000000	101.864258	0
5800.000000	101.597801	0
5900.000000	101.355888	0
6000.000000	101.140144	0
6080.000000	100.986084	0
6150.000000	100.864357	0
6220.000000	100.754242	0
6300.000000	100.641472	0
6400.000000	100.518471	0
6500.000000	100.414124	0
6600.000000	100.327377	0
6700.000000	100.257980	0
6800.000000	100.206291	0
6900.000000	100.172073	0
7000.000000	100.162140	0
7100.000000	100.183121	0
7200.000000	100.213257	0
7300.000000	100.239662	0
7400.000000	100.262711	0
7500.000000	100.281273	0
7620.000000	100.296402	0
7750.000000	100.302444	0
7880.000000	100.296661	0
8000.000000	100.280212	0
8120.000000	100.253174	0
8250.000000	100.212692	0
8380.000000	100.161774	0
8500.000000	100.106865	0
8620.000000	100.045616	0
8750.000000	99.973572	0
